OBJECTID,Base BBL,BIN,Construction Year,DOITT ID,Feature Code,Geometry Source,Ground Elevation,Height Roof,LAST_EDITED_DATE,LAST_STATUS_TYPE,Map Pluto BBL,Name,Area,Length,Lease_Category
780284,3089230920,3343823,1995.0,871775,2100,Photogrammetric,5.0,32.70966822,8/22/2017 3:45:26 PM,Constructed,3089230920,,1655.0703125,202.104324372736,OWNED
780334,3032860001,3325687,1982.0,781853,2100,Photogrammetric,44.0,35.45,8/22/2017 3:51:19 PM,Constructed,3032860001,,682.8828125,120.538028949829,OWNED
780375,5009550100,5154923,1930.0,84149,2100,Photogrammetric,312.0,29.51,12/7/2018 6:34:23 PM,Constructed,5009550100,,487.5703125,144.797577301979,OWNED
780952,2032240009,2096013,1992.0,117,2100,Photogrammetric,162.0,66.74313343,8/22/2017 6:13:44 PM,Constructed,2032240009,,7351.33203125,690.425859284702,OWNED
781493,3006620001,3378175,1931.0,1092349,2100,Photogrammetric,10.0,17.88,7/10/2014 12:00:00 AM,Constructed,3006620001,,835.8203125,122.535646507955,OWNED
781533,4026460018,4440960,1930.0,456821,2100,Photogrammetric,99.0,59.39,8/22/2017 5:57:48 PM,Constructed,4026460018,,775.7265625,117.985830613576,OWNED
781623,4129340127,4278618,1935.0,111388,2100,Photogrammetric,33.0,28.48,8/22/2017 6:50:07 PM,Constructed,4129340127,,125.16796875,51.3317076614821,OWNED
781724,2029430001,2009889,1925.0,473597,2100,Photogrammetric,74.0,14.3,8/22/2017 7:32:24 PM,Constructed,2029430001,,218.3984375,65.8205820316429,OWNED
781889,4160010002,4436442,1963.0,1118,2100,Photogrammetric,9.0,59.9541544,8/22/2017 6:31:41 PM,Constructed,4160010002,,1270.03125,202.636479903271,OWNED
782272,2056410280,2097869,1975.0,119932,2100,Photogrammetric,14.0,19.11,8/22/2017 5:31:56 PM,Constructed,2056410280,,524.37890625,93.7014053681073,OWNED
782277,2056500001,2118110,1935.0,298482,2100,Photogrammetric,9.0,10.79,7/24/2013 12:00:00 AM,Constructed,2056500001,,311.44921875,70.6769199120471,OWNED
782526,3033320001,3325726,1985.0,174972,2100,Photogrammetric,51.0,38.67,8/22/2017 3:51:10 PM,Constructed,3033320001,,673.62109375,120.101378440829,OWNED
782555,3017490015,3338598,1950.0,748576,2100,Photogrammetric,58.0,65.6,8/22/2017 3:34:29 PM,Constructed,3017490015,,1592.62890625,256.603558579372,OWNED
783258,5021650005,5111181,1990.0,290371,2100,Photogrammetric,17.0,50.92,8/22/2017 5:31:44 PM,Constructed,5021650005,,11269.5859375,521.006248896134,OWNED
783381,2036330001,2092731,1941.0,626484,2100,Photogrammetric,29.0,25.79,8/22/2017 6:31:11 PM,Constructed,2036330001,,632.296875,135.528949708413,OWNED
783391,1002580001,1083384,1955.0,790434,2100,Photogrammetric,25.0,141.42,8/22/2017 6:13:13 PM,Constructed,1002580001,,1048.11328125,185.389660798663,OWNED
